epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.055482,0.078707,0.184297,0.101501,0.969100,0.101831,0.808462,0.149947,0.00010000
2,0.027630,0.057767,0.226039,0.127421,0.983766,0.127689,0.849583,0.194190,0.00009990
3,0.025136,0.044072,0.272248,0.157573,0.971903,0.158294,0.883985,0.243185,0.00009961
4,0.024889,0.048485,0.277809,0.161311,0.949259,0.162714,0.889805,0.249188,0.00009911
5,0.018908,0.036406,0.399678,0.249748,0.948126,0.253208,0.936407,0.377748,0.00009843
6,0.017973,0.034779,0.373702,0.229787,0.969462,0.231462,0.927447,0.350280,0.00009755
7,0.015874,0.035151,0.370606,0.227450,0.973873,0.228847,0.926145,0.346994,0.00009649
8,0.015394,0.031212,0.440057,0.282098,0.965188,0.284998,0.945158,0.420063,0.00009524
9,0.016890,0.036048,0.336865,0.202548,0.983300,0.203247,0.913562,0.311382,0.00009382
10,0.014786,0.036237,0.356150,0.216656,0.966527,0.218294,0.921975,0.331810,0.00009222
11,0.014783,0.037175,0.344924,0.208404,0.974190,0.209561,0.917381,0.319932,0.00009045
12,0.013537,0.030389,0.357984,0.218015,0.974048,0.219288,0.921993,0.333698,0.00008853
13,0.012365,0.029505,0.423741,0.268827,0.967722,0.271259,0.941232,0.402915,0.00008645
14,0.016582,0.027192,0.444504,0.285763,0.967185,0.288561,0.946026,0.424718,0.00008423
15,0.014612,0.024930,0.443334,0.284797,0.965662,0.287711,0.945855,0.423500,0.00008187
16,0.011602,0.035081,0.261516,0.150427,0.986970,0.150727,0.875543,0.231755,0.00007939
17,0.014148,0.026051,0.411701,0.259209,0.966673,0.261546,0.938317,0.390272,0.00007679
18,0.014006,0.023972,0.489001,0.323627,0.956419,0.328471,0.955370,0.471431,0.00007409
19,0.010748,0.022955,0.447012,0.287840,0.961590,0.291188,0.946880,0.427385,0.00007129
20,0.010718,0.026205,0.472224,0.309092,0.963697,0.312734,0.951904,0.453810,0.00006841
21,0.011124,0.037543,0.389302,0.241698,0.958106,0.244279,0.932884,0.366770,0.00006545
22,0.012274,0.026634,0.482558,0.318007,0.949136,0.323521,0.954552,0.464731,0.00006243
23,0.012864,0.026682,0.428366,0.272561,0.975448,0.274444,0.941873,0.407726,0.00005937
24,0.010151,0.023962,0.478881,0.314822,0.964664,0.318494,0.953123,0.460779,0.00005627
25,0.009941,0.023163,0.484446,0.319650,0.962858,0.323640,0.954243,0.466620,0.00005314
26,0.009754,0.022914,0.513708,0.345631,0.954268,0.351452,0.959661,0.497302,0.00005000
27,0.010235,0.025927,0.462174,0.300537,0.970165,0.303341,0.949586,0.443233,0.00004686
28,0.008920,0.023026,0.506013,0.338700,0.961168,0.343399,0.958099,0.489208,0.00004373
29,0.008548,0.022126,0.518777,0.350235,0.956812,0.355861,0.960366,0.502586,0.00004063
30,0.008853,0.022123,0.534039,0.364292,0.952862,0.370978,0.962874,0.518565,0.00003757
31,0.008996,0.021359,0.530436,0.360948,0.950215,0.367906,0.962438,0.514818,0.00003455
32,0.008742,0.021348,0.549432,0.378771,0.948492,0.386725,0.965266,0.534671,0.00003159
33,0.008656,0.022785,0.491548,0.325862,0.958342,0.330545,0.955734,0.474086,0.00002871
34,0.007911,0.022753,0.563506,0.392279,0.933742,0.403511,0.967702,0.549458,0.00002591
35,0.008094,0.022415,0.550861,0.380130,0.937723,0.389975,0.965858,0.536234,0.00002321
36,0.009242,0.025080,0.573388,0.401922,0.922788,0.415910,0.969341,0.559839,0.00002061
37,0.007982,0.021744,0.539476,0.369371,0.951038,0.376531,0.963747,0.524257,0.00001813
38,0.007672,0.021811,0.553542,0.382688,0.944066,0.391566,0.965998,0.538991,0.00001577
39,0.007550,0.021083,0.544890,0.374467,0.950014,0.381993,0.964567,0.529919,0.00001355
40,0.007552,0.022386,0.550941,0.380206,0.940565,0.389566,0.965766,0.536299,0.00001147
41,0.007494,0.021856,0.573714,0.402243,0.932365,0.414333,0.969064,0.560114,0.00000955
42,0.007292,0.021160,0.578262,0.406729,0.936612,0.418242,0.969497,0.564828,0.00000778
43,0.007204,0.022290,0.548793,0.378163,0.946233,0.386468,0.965260,0.534019,0.00000618
44,0.007065,0.023062,0.539990,0.369853,0.945128,0.377969,0.964046,0.524833,0.00000476
45,0.007386,0.021726,0.594317,0.422796,0.921736,0.438539,0.971904,0.581659,0.00000351
46,0.006991,0.022163,0.554251,0.383366,0.942786,0.392497,0.966141,0.539739,0.00000245
47,0.006967,0.022587,0.561723,0.390553,0.933521,0.401726,0.967475,0.547599,0.00000157
48,0.006979,0.022779,0.574648,0.403162,0.928181,0.416144,0.969320,0.561116,0.00000089
49,0.007339,0.022493,0.549176,0.378527,0.941896,0.387577,0.965472,0.534447,0.00000039
50,0.006989,0.022638,0.557091,0.386088,0.937968,0.396205,0.966700,0.542735,0.00000010
