epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.041452,0.061814,0.370282,0.227206,0.857696,0.236107,0.934865,0.347432,0.00010000
2,0.028231,0.059554,0.298465,0.175409,0.961469,0.176651,0.899084,0.270963,0.00009990
3,0.024295,0.045861,0.360320,0.219750,0.952478,0.222186,0.924491,0.336288,0.00009961
4,0.022799,0.042423,0.339644,0.204561,0.971236,0.205808,0.915676,0.314381,0.00009911
5,0.019937,0.053547,0.300493,0.176812,0.979567,0.177467,0.898173,0.273009,0.00009843
6,0.017702,0.045935,0.370178,0.227128,0.971498,0.228652,0.926189,0.346558,0.00009755
7,0.017356,0.047637,0.334344,0.200728,0.958287,0.202497,0.914803,0.308865,0.00009649
8,0.016600,0.066787,0.160435,0.087213,0.885119,0.088212,0.793163,0.124899,0.00009524
9,0.019452,0.037908,0.313200,0.185677,0.973951,0.186604,0.904629,0.286460,0.00009382
10,0.016919,0.034870,0.338458,0.203701,0.983020,0.204421,0.914201,0.313064,0.00009222
11,0.017484,0.031128,0.383938,0.237576,0.974708,0.239050,0.930159,0.361024,0.00009045
12,0.018061,0.028948,0.458884,0.297761,0.963285,0.301179,0.949276,0.439827,0.00008853
13,0.014118,0.030852,0.431334,0.274969,0.956491,0.278452,0.943689,0.410962,0.00008645
14,0.014751,0.034197,0.401031,0.250806,0.962490,0.253281,0.935806,0.379080,0.00008423
15,0.013188,0.028650,0.405892,0.254620,0.968679,0.256734,0.936685,0.384153,0.00008187
16,0.013085,0.035073,0.266758,0.153907,0.966281,0.154738,0.881395,0.237405,0.00007939
17,0.013712,0.026421,0.459860,0.298583,0.962144,0.302133,0.949535,0.440859,0.00007679
18,0.011608,0.024827,0.503636,0.336573,0.949110,0.342759,0.958229,0.486799,0.00007409
19,0.011077,0.024745,0.486683,0.321600,0.943306,0.327939,0.955571,0.469091,0.00007129
20,0.014181,0.032277,0.374813,0.230628,0.978616,0.231796,0.927109,0.351397,0.00006841
21,0.013313,0.025838,0.446535,0.287444,0.964657,0.290504,0.946608,0.426865,0.00006545
22,0.011182,0.027033,0.425490,0.270237,0.975310,0.272098,0.941194,0.404706,0.00006243
23,0.010537,0.026702,0.425182,0.269988,0.975384,0.271840,0.941115,0.404382,0.00005937
24,0.010312,0.025175,0.468024,0.305503,0.966055,0.308819,0.950966,0.449393,0.00005627
25,0.009701,0.024884,0.489561,0.324119,0.962281,0.328289,0.955197,0.471980,0.00005314
26,0.009474,0.024380,0.493149,0.327271,0.957644,0.332078,0.956048,0.475767,0.00005000
27,0.009091,0.023404,0.531949,0.362351,0.945379,0.370099,0.962855,0.516431,0.00004686
28,0.008816,0.023733,0.533186,0.363500,0.948730,0.370783,0.962908,0.517701,0.00004373
29,0.009137,0.024077,0.514501,0.346349,0.955055,0.352088,0.959756,0.498127,0.00004063
30,0.008641,0.023747,0.529372,0.359963,0.952582,0.366531,0.962183,0.513690,0.00003757
31,0.008631,0.023989,0.527934,0.358635,0.955915,0.364666,0.961831,0.512165,0.00003455
32,0.009436,0.023485,0.477416,0.313556,0.973990,0.316204,0.952392,0.459184,0.00003159
33,0.008415,0.021525,0.526631,0.357433,0.953256,0.363810,0.961738,0.510821,0.00002871
34,0.008193,0.021417,0.541996,0.371738,0.952660,0.378734,0.964051,0.526879,0.00002591
35,0.008265,0.023529,0.518563,0.350040,0.949607,0.356666,0.960631,0.502410,0.00002321
36,0.008346,0.023135,0.544436,0.374038,0.946351,0.382141,0.964639,0.529469,0.00002061
37,0.007703,0.022515,0.546585,0.376069,0.945926,0.384331,0.964960,0.531715,0.00001813
38,0.009226,0.022080,0.553525,0.382672,0.938393,0.392534,0.966200,0.539011,0.00001577
39,0.007777,0.022963,0.544184,0.373800,0.947896,0.381641,0.964545,0.529195,0.00001355
40,0.007591,0.022760,0.530400,0.360914,0.951354,0.367700,0.962387,0.514772,0.00001147
41,0.007519,0.022917,0.529141,0.359750,0.952213,0.366364,0.962162,0.513451,0.00000955
42,0.007121,0.023175,0.555087,0.384166,0.937387,0.394284,0.966449,0.540648,0.00000778
43,0.007438,0.023178,0.579294,0.407751,0.929670,0.420729,0.969851,0.565950,0.00000618
44,0.007083,0.023029,0.567235,0.395902,0.935113,0.407086,0.968142,0.553339,0.00000476
45,0.009762,0.023128,0.573422,0.401956,0.928815,0.414733,0.969145,0.559834,0.00000351
46,0.007201,0.021969,0.573672,0.402202,0.934144,0.413940,0.969000,0.560059,0.00000245
47,0.008278,0.023321,0.550114,0.379418,0.943679,0.388209,0.965538,0.535414,0.00000157
48,0.007060,0.023703,0.544131,0.373750,0.944858,0.382084,0.964651,0.529160,0.00000089
49,0.007374,0.022643,0.543591,0.373241,0.948495,0.380962,0.964438,0.528572,0.00000039
50,0.007387,0.024032,0.537736,0.367742,0.943693,0.375992,0.963774,0.522488,0.00000010
