epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.045372,0.064877,0.226109,0.127465,0.959302,0.128158,0.853382,0.194373,0.00010000
2,0.024940,0.049465,0.345874,0.209098,0.949168,0.211466,0.919840,0.321081,0.00009990
3,0.019581,0.035467,0.332355,0.199296,0.971995,0.200447,0.912808,0.306688,0.00009961
4,0.017154,0.034587,0.374051,0.230051,0.964148,0.232036,0.927952,0.350680,0.00009911
5,0.015882,0.028243,0.452261,0.292208,0.944973,0.297266,0.948894,0.433001,0.00009843
6,0.015281,0.036770,0.266659,0.153841,0.988601,0.154115,0.878594,0.237190,0.00009755
7,0.013989,0.026489,0.448102,0.288744,0.967107,0.291608,0.946810,0.428494,0.00009649
8,0.012789,0.027692,0.396833,0.247531,0.978411,0.248890,0.933592,0.374568,0.00009524
9,0.012246,0.028751,0.399668,0.249741,0.976009,0.251284,0.934534,0.377564,0.00009382
10,0.011964,0.025270,0.440411,0.282389,0.973815,0.284550,0.944747,0.420381,0.00009222
11,0.012466,0.024414,0.443888,0.285255,0.970317,0.287766,0.945716,0.424052,0.00009045
12,0.011179,0.022359,0.433540,0.276764,0.975010,0.278741,0.943112,0.413161,0.00008853
13,0.010403,0.023185,0.524818,0.355765,0.957719,0.361442,0.961278,0.508896,0.00008645
14,0.011197,0.034102,0.376719,0.232073,0.974148,0.233511,0.928028,0.353429,0.00008423
15,0.009755,0.021199,0.511028,0.343208,0.956198,0.348690,0.959144,0.494486,0.00008187
16,0.010967,0.021164,0.502687,0.335726,0.956635,0.340914,0.957738,0.485756,0.00007939
17,0.009327,0.022109,0.484042,0.319298,0.968271,0.322674,0.953911,0.466162,0.00007679
18,0.008776,0.021188,0.449535,0.289936,0.948357,0.294587,0.948143,0.430118,0.00007409
19,0.008941,0.022654,0.457992,0.297010,0.954513,0.301275,0.949557,0.438949,0.00007129
20,0.008212,0.021720,0.520347,0.351668,0.958817,0.357061,0.960532,0.504215,0.00006841
21,0.008499,0.020335,0.554930,0.384016,0.944376,0.392903,0.966178,0.540438,0.00006545
22,0.008925,0.022590,0.501887,0.335013,0.966049,0.339004,0.957185,0.484859,0.00006243
23,0.007958,0.020355,0.562494,0.391299,0.940292,0.401269,0.967341,0.548358,0.00005937
24,0.007933,0.021933,0.530405,0.360919,0.952184,0.367581,0.962355,0.514772,0.00005627
25,0.007707,0.020314,0.557745,0.386718,0.946712,0.395323,0.966478,0.543361,0.00005314
26,0.007762,0.020932,0.521380,0.352613,0.965775,0.357075,0.960410,0.505251,0.00005000
27,0.007099,0.020760,0.552125,0.381335,0.957416,0.387914,0.965319,0.537425,0.00004686
28,0.007204,0.023222,0.572051,0.400610,0.935008,0.412085,0.968765,0.558362,0.00004373
29,0.007517,0.020035,0.575832,0.404329,0.938638,0.415306,0.969125,0.562281,0.00004063
30,0.007079,0.020697,0.561699,0.390529,0.935538,0.401329,0.967401,0.547560,0.00003757
31,0.006624,0.019881,0.548678,0.378054,0.947627,0.386121,0.965192,0.533889,0.00003455
32,0.006506,0.021587,0.596423,0.424931,0.917830,0.441735,0.972267,0.583879,0.00003159
33,0.006255,0.020582,0.578950,0.407410,0.938222,0.418641,0.969530,0.565535,0.00002871
34,0.006251,0.020278,0.586329,0.414756,0.932735,0.427544,0.970614,0.573263,0.00002591
35,0.006470,0.022981,0.588233,0.416664,0.925480,0.431128,0.971071,0.575294,0.00002321
36,0.006145,0.020461,0.586765,0.415193,0.935839,0.427358,0.970569,0.573696,0.00002061
37,0.005870,0.022190,0.568822,0.397450,0.939021,0.407980,0.968215,0.554968,0.00001813
38,0.005803,0.021749,0.594812,0.423297,0.925801,0.438162,0.971838,0.582147,0.00001577
39,0.005735,0.022401,0.624797,0.454331,0.906654,0.476626,0.975687,0.613484,0.00001355
40,0.005768,0.022258,0.594233,0.422711,0.920602,0.438705,0.971929,0.581579,0.00001147
41,0.005664,0.022760,0.588597,0.417030,0.926746,0.431245,0.971075,0.575666,0.00000955
42,0.005630,0.021727,0.596657,0.425169,0.928605,0.439537,0.971968,0.584051,0.00000778
43,0.005584,0.022435,0.597412,0.425936,0.922696,0.441698,0.972234,0.584876,0.00000618
44,0.005651,0.023374,0.595541,0.424035,0.917633,0.440813,0.972171,0.582961,0.00000476
45,0.005624,0.022944,0.596687,0.425199,0.920639,0.441377,0.972212,0.584135,0.00000351
46,0.005653,0.023723,0.598413,0.426954,0.916985,0.444120,0.972520,0.585956,0.00000245
47,0.005413,0.023341,0.635581,0.465825,0.896962,0.492161,0.977035,0.624761,0.00000157
48,0.005624,0.023346,0.584746,0.413174,0.930984,0.426229,0.970477,0.571624,0.00000089
49,0.005525,0.022954,0.617697,0.446860,0.909080,0.467766,0.974875,0.606082,0.00000039
50,0.006146,0.023525,0.574099,0.402622,0.932077,0.414792,0.969122,0.560518,0.00000010
