epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.202250,0.158334,0.327599,0.195885,0.515837,0.240014,0.952721,0.306463,0.00010000
2,0.116687,0.106041,0.356588,0.216980,0.426642,0.306294,0.965624,0.339417,0.00009755
3,0.084140,0.074843,0.373305,0.229487,0.835248,0.240367,0.937385,0.350793,0.00009045
4,0.061154,0.061011,0.487079,0.321946,0.763281,0.357657,0.964107,0.470993,0.00007939
5,0.048874,0.050152,0.460406,0.299044,0.871419,0.312849,0.954394,0.442074,0.00006545
6,0.042174,0.043666,0.425229,0.270026,0.934929,0.275198,0.943569,0.404691,0.00005000
7,0.037303,0.045402,0.411685,0.259196,0.896623,0.267180,0.942783,0.390724,0.00003455
8,0.031682,0.037481,0.474763,0.311272,0.907089,0.321523,0.955188,0.456856,0.00002061
9,0.030291,0.038759,0.453346,0.293114,0.910756,0.301781,0.950959,0.434374,0.00000955
10,0.031174,0.040565,0.417181,0.263568,0.939008,0.268159,0.941420,0.396208,0.00000245
