epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.050386,0.076881,0.057048,0.029361,0.927272,0.029429,0.315574,0.014389,0.00010000
2,0.032530,0.061014,0.224404,0.126382,0.958630,0.127075,0.852046,0.192568,0.00009990
3,0.023589,0.045024,0.259353,0.148998,0.985067,0.149335,0.874381,0.229475,0.00009961
4,0.019781,0.036863,0.309968,0.183409,0.958634,0.184873,0.904704,0.283131,0.00009911
5,0.018362,0.033830,0.368579,0.225925,0.968458,0.227600,0.925914,0.344892,0.00009843
6,0.018031,0.043413,0.288088,0.168284,0.977631,0.168935,0.892118,0.259908,0.00009755
7,0.019702,0.029767,0.407446,0.255845,0.941960,0.259942,0.938827,0.385957,0.00009649
8,0.017002,0.029720,0.410038,0.257891,0.943180,0.261961,0.939401,0.388673,0.00009524
9,0.015545,0.028819,0.438209,0.280581,0.959004,0.283987,0.945099,0.418163,0.00009382
10,0.014517,0.032849,0.418526,0.264643,0.951601,0.268254,0.940962,0.397540,0.00009222
11,0.013960,0.030427,0.385891,0.239074,0.968723,0.240934,0.931159,0.363116,0.00009045
12,0.016555,0.031513,0.393246,0.244745,0.961189,0.247188,0.933774,0.370900,0.00008853
13,0.012604,0.026408,0.488494,0.323183,0.945746,0.329288,0.955778,0.470971,0.00008645
14,0.013545,0.025574,0.459152,0.297987,0.960983,0.301636,0.949452,0.440124,0.00008423
15,0.012565,0.024202,0.391265,0.243213,0.957990,0.245835,0.933444,0.368836,0.00008187
16,0.011650,0.024277,0.449418,0.289838,0.954403,0.293908,0.947788,0.429956,0.00007939
17,0.011869,0.025474,0.422034,0.267454,0.961538,0.270347,0.941198,0.401161,0.00007679
18,0.011188,0.022353,0.480879,0.316551,0.955154,0.321326,0.953956,0.462933,0.00007409
19,0.011114,0.028789,0.501150,0.334357,0.924191,0.343785,0.958920,0.484368,0.00007129
20,0.012189,0.024089,0.451549,0.291614,0.964019,0.294822,0.947714,0.432130,0.00006841
21,0.010402,0.022520,0.446831,0.287690,0.958767,0.291294,0.946997,0.427213,0.00006545
22,0.011460,0.021201,0.492999,0.327139,0.953423,0.332452,0.956216,0.475637,0.00006243
23,0.009901,0.025460,0.462659,0.300948,0.963747,0.304394,0.950017,0.443783,0.00005937
24,0.009748,0.021129,0.475808,0.312171,0.965000,0.315746,0.952526,0.457557,0.00005627
25,0.008755,0.022343,0.470023,0.307210,0.958162,0.311386,0.951756,0.451539,0.00005314
26,0.008998,0.022957,0.501811,0.334945,0.950049,0.340950,0.957882,0.484884,0.00005000
27,0.009579,0.026907,0.480004,0.315793,0.955225,0.320538,0.953791,0.462017,0.00004686
28,0.009776,0.022598,0.493585,0.327655,0.960191,0.332168,0.956008,0.476207,0.00004373
29,0.008372,0.022294,0.498585,0.332077,0.960113,0.336722,0.956883,0.481441,0.00004063
30,0.008153,0.022301,0.530198,0.360727,0.940517,0.369149,0.962785,0.514633,0.00003757
31,0.007932,0.022843,0.483723,0.319020,0.960139,0.323302,0.954240,0.465880,0.00003455
32,0.007806,0.022596,0.551662,0.380893,0.933210,0.391567,0.966133,0.537101,0.00003159
33,0.007411,0.024320,0.530752,0.361241,0.937550,0.370147,0.962985,0.515232,0.00002871
34,0.007173,0.022128,0.556257,0.385288,0.928657,0.397040,0.966919,0.541928,0.00002591
35,0.007427,0.021780,0.548832,0.378201,0.937869,0.387920,0.965572,0.534116,0.00002321
36,0.007061,0.020593,0.545556,0.375096,0.934053,0.385300,0.965256,0.530721,0.00002061
37,0.007232,0.021484,0.553057,0.382225,0.934950,0.392667,0.966260,0.538546,0.00001813
38,0.006912,0.021125,0.542562,0.372271,0.944088,0.380664,0.964456,0.527526,0.00001577
39,0.006779,0.022066,0.554046,0.383170,0.929115,0.394709,0.966605,0.539618,0.00001355
40,0.006752,0.022643,0.593008,0.421472,0.911954,0.439350,0.972051,0.580362,0.00001147
41,0.006600,0.022444,0.552771,0.381951,0.935120,0.392348,0.966215,0.538246,0.00000955
42,0.006746,0.022262,0.558486,0.387430,0.930020,0.399064,0.967168,0.544245,0.00000778
43,0.006522,0.022604,0.571712,0.400278,0.928975,0.412914,0.968923,0.558050,0.00000618
44,0.006554,0.022294,0.578345,0.406811,0.923143,0.421072,0.969945,0.565005,0.00000476
45,0.006429,0.021915,0.574559,0.403074,0.928225,0.416041,0.969308,0.561023,0.00000351
46,0.006394,0.021594,0.585367,0.413795,0.923422,0.428499,0.970792,0.572323,0.00000245
47,0.006516,0.022320,0.604990,0.433681,0.911601,0.452720,0.973421,0.592841,0.00000157
48,0.006819,0.022244,0.582061,0.410498,0.925501,0.424525,0.970325,0.568862,0.00000089
49,0.006333,0.021800,0.565166,0.393890,0.931646,0.405612,0.967991,0.551204,0.00000039
50,0.006243,0.021571,0.571689,0.400255,0.928466,0.412991,0.968938,0.558029,0.00000010
